trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
94,False,"{'a': 0.5, 'e': 0.8938215656067205}",20,0,-59.347436189116436,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.891568288195329}",20,0,-51.94202125439047,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.8892927216231682}",25,0,-32.17266543715666,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.8869949227792842}",25,0,-144.81499895001252,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
98,False,"{'a': 0.5, 'e': 0.8846749491085283}",20,0,-77.10766976700687,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.8823328586101215}",20,0,-7.364045491361725,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.8799687098362042}",25,0,-77.08080273904643,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.8775825618903728}",25,10,-68.97600099982944,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.8751744744262013}",20,0,-17.859933498515822,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.8727445076457513}",30,0,-192.7335493541067,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.8702927222980654}",20,6,-51.47554181732055,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.8678191796776499}",25,0,-136.7272445792372,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.8653239416229412}",25,0,-88.59197488085819,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.862807070514761}",20,0,-85.77444361878726,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.8602686292747557}",25,0,-99.07503057521576,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,9,-52.92734807685757,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.8551272907805307}",25,0,-166.7796765630496,"{0: 13, 1: 6, 2: 3, 3: 0, 4: 3}",0
111,False,"{'a': 0.5, 'e': 0.8525245220595057}",25,0,-115.39587693617035,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
112,False,"{'a': 0.5, 'e': 0.8499004402698315}",25,0,-49.87800614188026,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.8472551110134161}",20,0,-68.53184234467781,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.8445886004233533}",30,0,-102.87455820950737,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
115,False,"{'a': 0.5, 'e': 0.8419009751622687}",25,0,-84.51917215361665,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.8391923024206541}",20,0,-80.64518479112768,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.8364626499151869}",20,0,-93.31951219512774,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.8337120858870376}",20,0,-100.7162116508284,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
119,False,"{'a': 0.5, 'e': 0.8309406791001636}",20,0,-61.77945210820619,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.8281484988395901}",20,5,-18.917587520929885,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,0,-140.9922349398819,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
122,False,"{'a': 0.5, 'e': 0.82250209763238}",20,0,-38.363252437582396,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.8196480178454795}",25,0,-195.0027426328519,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
124,False,"{'a': 0.5, 'e': 0.8167734469008229}",25,0,-195.57006509577775,"{0: 13, 1: 1, 2: 7, 3: 1, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.8138784566625339}",20,0,-102.48941652959509,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
126,False,"{'a': 0.5, 'e': 0.8109631195052179}",20,0,-20.966223031358993,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.8080275083121519}",30,23,13.94264480468352,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.8050716964734628}",25,0,-112.48982512202568,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.8020957578842927}",30,0,-111.3415120871967,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.7990997669429512}",20,0,-38.58357896534892,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.7960837985490559}",30,13,-82.01036744550939,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
132,False,"{'a': 0.5, 'e': 0.7930479281016595}",25,0,2.9036027314278465,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.7899922314973651}",25,0,-85.167131412858,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.7869167851284287}",30,0,-148.34122604042483,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.7838216658808492}",30,0,-74.89952636150537,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.7807069511324468}",20,0,-75.67737923206202,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.7775727187509279}",30,0,-99.10947556729087,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.7744190470919388}",20,0,-57.47740092173795,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.7712460149971065}",30,0,-75.59062414332213,"{0: 23, 1: 0, 2: 5, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.7680537017920684}",30,0,-105.19039061316143,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
141,False,"{'a': 0.5, 'e': 0.7648421872844884}",20,0,-83.55163755166014,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.7616115517620617}",30,8,10.112623164623075,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.7583618759905082}",30,0,-172.16716443770414,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
144,False,"{'a': 0.5, 'e': 0.7550932412115529}",30,0,-73.80577587047671,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.751805729140895}",20,0,-39.37146782257441,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.7484994219661651}",20,0,-31.125869894137253,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
